"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro #","Basin #","Owner","Maintenance","Operator","Map #","Collect #","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"29P","TWENTYNINE PALMS","1975","34.127","-116.037","PALM SPRINGS","10","11801","0","0","40","48","0","SAN BERNARDINO","COLORADO R","National Weather Service","COLORADO RIVER","2"
"3RV","THREE RIVERS PH NO 1","1140","36.467","-118.867","VISALIA","7","9501","0","0","69","32","0","TULARE","KAWEAH R","Southern California Edison Company, Bishop","TULARE LAKE","2"
"ABR","AUBERRY 2 NW","2090","37.083","-119.5","AUBERRY","6","9001","0","0","40","25","0","FRESNO","SAN JOAQUIN R","National Weather Service","SAN JOAQUIN RIVER","2"
"ACT","ACTON ESCONDIDO CNYN","2960","34.5","-118.167","PALMDALE","9","11501","0","0","999","46","0","none specified","MOJAVE DESERT",".None Specified","SOUTH LAHONTAN","2"
"ADN","ADIN RS","4195","41.194","-120.944","ADIN","5","6701","0","0","44","5","0","MODOC","PIT R","US Forest Service","SACRAMENTO RIVER","2"
"AGL","ANGIOLA","205","36.0","-119.45","TULARE","6","9001","0","0","999","31","0","TULARE","SAN JOAQUIN R",".None Specified","SAN JOAQUIN RIVER","2"
"ALT","ALTURAS RS","4400","41.5","-120.55","ALTURAS","5","6701","0","0","44","5","0","MODOC","PIT R","US Forest Service","SACRAMENTO RIVER","2,45"
"ANA","SANTA ANA FIRE STA","135","33.75","-117.867","SANTA ANA","4","5701","0","0","40","54","0","ORANGE","SANTA ANA R","National Weather Service","SOUTH COAST","2"
"APP","ANTIOCH PUMP PLANT","60","37.984","-121.728","ANTIOCH","6","8101","0","0","97","23","0","CONTRA COSTA","DELTA","Contra Costa Water District","SAN JOAQUIN RIVER","2"
"APU","ANGWIN PACIFIC UNION COL","1815","38.5731","-122.4406","ST HELENA","2","1901","0","0","40","16","0","NAPA","NAPA R","National Weather Service","SAN FRANCISCO BAY","2"
"ARR","LAKE ARROWHEAD","5205","34.25","-117.183","SAN BERNARDINO","9","11501","0","0","40","47","0","SAN BERNARDINO","MOJAVE DESERT","National Weather Service","SOUTH LAHONTAN","2"
"ASM","ASH MOUNTAIN","1708","36.483","-118.833","THREE RIVERS","7","9501","0","0","53","32","0","TULARE","KAWEAH R","Sequoia and Kings Canyon National Parks","TULARE LAKE","2,45,203"
"ATW","ATWELL CAMP","6400","36.464","-118.631","SILVER CITY","7","9501","0","0","56","32","0","TULARE","KAWEAH R","US Army Corps of Engineers","TULARE LAKE","2,45"
"AUB","AUBURN","1292","38.917","-121.083","AUBURN","5","7701","0","0","40","17","0","PLACER","AMERICAN R","National Weather Service","SACRAMENTO RIVER","2"
"BAL","BALCH PH (PG&E)","1720","36.909","-119.089","PIEDRA","7","9401","0","0","60","31","0","FRESNO","KINGS R","Pacific Gas & Electric","TULARE LAKE","2,12,14,16,30,31,32,36,45,203"
"BBE","BIG BEAR LAKE","6790","34.247","-116.891","SAN BERNARDINO","4","5701","0","0","40","48","0","SAN BERNARDINO","SANTA ANA R","National Weather Service","SOUTH COAST","2"
"BBR","BIEBER 4NW","4195","41.12","-121.13","ADIN","5","6701","0","0","999","4","0","LASSEN","PIT R",".None Specified","SACRAMENTO RIVER","2"
"BCA","BOCA","5575","39.383","-120.1","TRUCKEE","8","10501","0","0","40","14","0","NEVADA","TRUCKEE R","National Weather Service","NORTH LAHONTAN","2"
"BCM","BRUSH CREEK (DWR-2)","3560","39.694","-121.34","OROVILLE","5","7301","0","0","722","13","0","BUTTE","FEATHER R","CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting","SACRAMENTO RIVER","2,45"
"BCR","BRUSH CREEK RS","3520","39.69","-121.34","OROVILLE","5","7301","0","0","44","13","0","BUTTE","FEATHER R","US Forest Service","SACRAMENTO RIVER","2,45"
"BDD","BIG DALTON DAM","1587","34.17","-117.808","GLENDORA","4","4901","170","170","170","47","0","LOS ANGELES","SAN GABRIEL R","Los Angeles County","SOUTH COAST","2,16,45"
"BDE","BODIE","8370","38.217","-119.017","BODIE","8","10801","0","0","40","19","0","MONO","WALKER R","National Weather Service","NORTH LAHONTAN","2"
"BDG","BRIDGEPORT R S","6470","38.25","-119.233","BRIDGEPORT","8","10801","0","0","44","19","0","MONO","WALKER R","US Forest Service","NORTH LAHONTAN","2"
"BFK","BAKERSFIELD AIRPORT","494","35.434","-119.054","BAKERSFIELD","7","9801","0","0","40","38","0","KERN","TULARE LAKE","National Weather Service","TULARE LAKE","2,45"
"BFS","BARSTOW","2320","34.9","-117.017","BARSTOW","9","11701","0","0","305","47","0","SAN BERNARDINO","MOJAVE R","Mohave River Museum","SOUTH LAHONTAN","2"
"BGB","BIG BAR","1270","40.733","-123.2","WEAVERVILLE","1","901","0","0","44","7","0","TRINITY","TRINITY R","US Forest Service","NORTH COAST","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"BGC","BIG CREEK 1","4878","37.205","-119.24","SHAVER LAKE","6","9001","0","0","68","25","0","FRESNO","SAN JOAQUIN R","Southern California Edison Company, Big Creek","SAN JOAQUIN RIVER","2,45"
"BGS","BIG SUR STATE PARK","240","36.247","-121.811","BIG SUR","3","3301","0","0","40","29","0","MONTEREY","SALINAS R","National Weather Service","CENTRAL COAST","2"
"BIS","BISHOP","4140","37.35","-118.4","BISHOP","9","11001","0","0","71","26","0","INYO","OWENS R","City of Los Angeles; Dept of Water and Power","SOUTH LAHONTAN","2"
"BKP","BUCKS CREEK PH","1760","39.917","-121.333","BUCKS LAKE","5","7301","0","0","60","13","0","PLUMAS","FEATHER R","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"BLC","BLUE CANYON","5280","39.2800979614258","-120.708694458008","EMIGRANT GAP","5","7701","50","702","50","999","0","PLACER","AMERICAN R","US Bureau of Reclamation","SACRAMENTO RIVER","2,3,4,14,16,18,30,31,32,45,82,203"
"BLH","BALCH PH","1720","36.917","-119.083","PIEDRA","7","9401","0","0","60","31","0","FRESNO","KINGS R","Pacific Gas & Electric","TULARE LAKE","2,45"
"BLY","BLYTHE","390","33.617","-114.717",,"10","11801","0","0","3","57","0","RIVERSIDE","COLORADO R","CA Dept of Forestry and Fire Protection","COLORADO RIVER","2"
"BNL","BOONVILLE HMS","342","39.015","-123.372","BOONVILLE","1","1610","0","0","6","11","0","MENDOCINO","NAVARRO RIVER","CA Dept of Transportation","NORTH COAST","2"
"BOL","BOWMAN LAKE","5390","39.4476928710938","-120.654823303223","SIERRA CITY","5","7401","702","702","702","999","0","NEVADA","YUBA R","CA Dept of Water Resources/DFM-Hydro-SMN","SACRAMENTO RIVER","2,4,9,10,12,14,16,30,31,32,45"
"BOW","BOWMAN","5385","39.45","-120.65","EMIGRANT GAP","5","7401","0","0","81","14","0","NEVADA","YUBA R","Nevada Irrigation District","SACRAMENTO RIVER","2"
"BPN","BIG PINE PH 3","4680","37.126","-118.323","BIG PINE","9","11001","0","0","999","26","0","INYO","OWENS R",".None Specified","SOUTH LAHONTAN","2"
"BPP","BIG PINES PARK","6845","34.379","-117.691","WRIGHTWOOD","4","4651","0","0","999","47","0","LOS ANGELES","ANTELOPE VALLEY",".None Specified","SOUTH COAST","2"
"BPT","BRIDGEPORT","6650","38.272","-119.289","BRIDGEPORT","8","10801","0","0","44","19","0","MONO","WALKER R","US Forest Service","NORTH LAHONTAN","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"BRM","BEAR TRAP MEADOW","6800","36.676","-118.858","PINEHURST","7","9501","0","0","56","32","0","TULARE","KAWEAH R","US Army Corps of Engineers","TULARE LAKE","2,4,30,31,32,45,203"
"BRS","BRUSH CREEK (DWR)","3560","39.692","-121.339","BRUSH CREEK","5","7301","701","999","703","13","0","BUTTE","FEATHER R","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","2,4,12,14,45,203"
"BRT","BARRETT","1607","32.678","-116.669","CHULA VISTA","4","6101","0","0","190","60","0","SAN DIEGO","SAN DIEGO R","San Diego County","SOUTH COAST","2,15"
"BTJ","BIG TUJUNGA DAM","2315","34.293","-118.187","PASADENA","4","4801","0","0","170","46","0","LOS ANGELES","LOS ANGELES R","Los Angeles County","SOUTH COAST","2"
"BUP","BUCKS CREEK POWERHOUSE","1760","39.917","-121.333","PULGA","5","7301","0","0","60","13","0","PLUMAS","FEATHER R","Pacific Gas & Electric","SACRAMENTO RIVER","2,4,12,14,16,30,31,32,45"
"BVL","BRIDGEVILLE 4NNW","2100","40.533","-123.817","SCOTIA","1","1201","0","0","40","7","0","HUMBOLDT","EEL R","National Weather Service","NORTH COAST","2"
"BYM","BLUE CANYON (DWR-2)","5280","39.283","-120.7","BLUE CANYON","5","7701","0","0","722","14","0","PLACER","AMERICAN R","CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting","SACRAMENTO RIVER","2,45"
"CAL","CALLAHAN","3185","41.317","-122.8","YREKA","1","601","0","0","40","3","0","SISKIYOU","SCOTT R","National Weather Service","NORTH COAST","2"
"CAM","CAMPTONVILLE (DWR)","2755","39.451","-121.049","CAMPTONVILLE","5","7401","701","999","703","13","0","YUBA","YUBA R","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","2,14,45"
"CBO","CARIBOU PH","2986","40.085","-121.15","CHESTER","5","7301","0","0","740","9","0","PLUMAS","FEATHER R","CA Dept Water Resources and Pacific Gas and Electric","SACRAMENTO RIVER","2,4,12,14,16,45"
"CCH","CACHUMA LAKE","781","34.583","-119.98","SANTA YNEZ","3","4001","0","0","50","45","0","SANTA BARBARA","SANTA YNEZ R","US Bureau of Reclamation","CENTRAL COAST","2,6,14,15,22,23,45,71,76"
"CDV","CEDARVILLE","4670","41.533","-120.167","CEDARVILLE","8","10201","0","0","68","5","0","MODOC","SURPRISE VALLEY","Southern California Edison Company, Big Creek","NORTH LAHONTAN","2"
"CEC","CRESCENT CITY MC NAMARA FIELD","56","41.78","-124.24","CRESCENT CITY","1","101","0","0","40","0","13","DEL NORTE","SMITH R","National Weather Service","NORTH COAST","2,203"
"CES","CHICO UNIV FARM","185","39.7","-121.817",,"5","7001","0","0","40","13","0","BUTTE","SACTO VLY NE","National Weather Service","SACRAMENTO RIVER","2"
"CFF","COFFEE CREEK RANGER STATION","2503","41.0894393920898","-122.708610534668","CARRVILLE","1","901","702","702","702","999","2","TRINITY","TRINITY R","CA Dept of Water Resources/DFM-Hydro-SMN","NORTH COAST","2,4,9,10,11,12,13,14,16,17,26,31,32,45,77,78"
"CGS","COGSWELL RESERVOIR","2405","34.245","-117.965","MONROVIA","4","4901","0","0","170","47","0","LOS ANGELES","SAN GABRIEL R","Los Angeles County","SOUTH COAST","2,15"
"CHL","CHALLENGE RANGER STATION","3200","39.483","-121.217","CHALLENGE","5","7401","0","0","44","13","0","YUBA","YUBA R","US Forest Service","SACRAMENTO RIVER","2,45"
"CHS","CHESTER","4525","40.283","-121.233","CHESTER","5","7301","0","0","44","9","0","PLUMAS","FEATHER R","US Forest Service","SACRAMENTO RIVER","2,4,9,10,11,12,13,14,26,30,31,32,45,77,78"
"CLF","COLFAX","2400","39.122","-120.951","COLFAX","5","7701","0","0","40","14","0","PLACER","AMERICAN R","National Weather Service","SACRAMENTO RIVER","2,45"
"CLG","COLGATE PH","600","39.333","-121.183","GRASS VALLEY","5","7401","0","0","60","13","0","YUBA","YUBA R","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"CLH","CLEAR LK HIGHLANDS (OBS)","1340","38.9","-122.6","CLEAR LAKE","5","7101","0","0","40","16","0","LAKE","SACTO VLY WEST","National Weather Service","SACRAMENTO RIVER","2,45"
"CLN","COALINGA","670","36.136","-120.361","COALINGA","7","9001","0","0","40","30","0","FRESNO","SAN JOAQUIN R","National Weather Service","TULARE LAKE","2"
"CMV","CAMPTONVILLE RS (USFS)","2503","39.455","-121.045","CAMPTONVILLE","5","7401","0","0","44","13","0","YUBA","YUBA R","US Forest Service","SACRAMENTO RIVER","2,45"
"CNL","CHINA LAKE ARMITAGE","2220","35.683","-117.683","CHINA LAKE","9","11150","0","0","40","40","0","KERN","CHINA LAKE","National Weather Service","SOUTH LAHONTAN","2"
"CNY","CANYON DAM","4560","40.167","-121.083","ALMANOR","5","7301","0","0","60","9","0","PLUMAS","FEATHER R","Pacific Gas & Electric","SACRAMENTO RIVER","2,30,31,32,45"
"COA","COLOMA","770","38.801","-120.982","COLOMA","5","7701","0","0","1","18","0","EL DORADO","AMERICAN R","CA Dept of Water Resources","SACRAMENTO RIVER","2"
"COV","COVELO 1 NNE","1514","39.833","-123.083",,"1","1201","0","0","40","11","0","MENDOCINO","EEL R","National Weather Service","NORTH COAST","2"
"CPD","CAMP PARDEE","658","38.25","-120.867",,"6","8301","0","0","86","18","0","CALAVERAS","MOKELUMNE R","East Bay Municipal Utility District","SAN JOAQUIN RIVER","2"
"CPT","CAPLES (TWIN) LAKE","8000","38.7","-120.033","KIRKWOOD","5","7701","0","0","40","18","0","ALPINE","AMERICAN R","National Weather Service","SACRAMENTO RIVER","2,45"
"CPY","CAPAY","300","38.73","-122.13","ESPARTO","5","7901","0","0","1","16","0","YOLO","CACHE CR","CA Dept of Water Resources","SACRAMENTO RIVER","2"
"CRC","CROOKED CREEK (LONG VALLEY)","6800","37.583","-118.7","MAMMOTH LAKES","9","11001","0","0","71","26","0","MONO","OWENS R","City of Los Angeles; Dept of Water and Power","SOUTH LAHONTAN","2"
"CRR","CRANE VALLEY RESERVOIR (PG&E)","3400","37.291","-119.526","BASS LAKE","6","9001","0","0","60","25","0","MADERA","SAN JOAQUIN R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,14,16,30,45"
"CRV","CRANE VALLEY PH","3400","37.29","-119.53","BASS LAKE","6","9001","0","0","60","25","0","MADERA","SAN JOAQUIN R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,45"
"CRZ","SANTA CRUZ","130","36.983","-122.017","SANTA CRUZ","3","2901","0","0","40","28","0","SANTA CRUZ","SAN LORENZO R","National Weather Service","CENTRAL COAST","2"
"CTT","COTTONWOOD GATES","3775","36.417","-118.033",,"9","11001","0","0","71","32","0","INYO","OWENS R","City of Los Angeles; Dept of Water and Power","SOUTH LAHONTAN","2"
"CUY","CUYAMACA DAM","4641","32.99","-116.587","SANTA YSABEL","4","6101","0","0","40","60","0","SAN DIEGO","SAN DIEGO R","National Weather Service","SOUTH COAST","2,15"
"CVD","CHERRY VALLEY DAM","4765","37.967","-119.917","BUCK MEADOWS","6","8601","0","0","56","25","0","TUOLUMNE","TUOLUMNE R","US Army Corps of Engineers","SAN JOAQUIN RIVER","2"
"CVT","CALAVERAS BIG TREES","4695","38.283","-120.317","ARNOLD","6","8501","0","0","40","18","0","CALAVERAS","STANISLAUS R","National Weather Service","SAN JOAQUIN RIVER","2,45,203"
"DBB","DOBBINS 1 S","1640","39.367","-121.2","BROWNSVILLE","5","7401","0","0","999","13","0","YUBA","YUBA R",".None Specified","SACRAMENTO RIVER","2"
"DCF","DEER CREEK FOREBAY","4455","39.3","-120.825","NEVADA CITY","5","7401","0","0","60","14","0","NEVADA","YUBA R","Pacific Gas & Electric","SACRAMENTO RIVER","2"
"DDL","DUDLEYS (MCDIARMID FIRE STATION)","3000","37.72091","-120.09614","COULTERVILLE","6","8701","702","702","702","24","2","MARIPOSA","MERCED R","CA Dept of Water Resources/DFM-Hydro-SMN","SAN JOAQUIN RIVER","2,4,9,10,11,12,13,14,16,26,31,32,45,77,78"
"DES","DE SABLA (DWR)","2710","39.872","-121.61","PARADISE","5","7201","701","999","703","13","0","BUTTE","BUTTE CR","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","2,14,45,203"
"DMF","DRUM PH FOREBAY","4750","39.25","-120.75","EMIGRANT GAP","5","7401","0","0","60","14","0","PLACER","YUBA R","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"DMS","DONNER MEM ST PARK","5937","39.317","-120.233",,"8","10501","0","0","40","14","0","NEVADA","TRUCKEE R","National Weather Service","NORTH LAHONTAN","2"
"DNM","DUNSMUIR TREATMENT PLANT","2170","41.2","-122.267","DUNSMUIR","5","6501","0","0","40","3","0","SISKIYOU","SACRAMENTO R","National Weather Service","SACRAMENTO RIVER","2,45"
"DRC","DEER CK FOREBAY (PG&E)","4455","39.3","-120.825","NEVADA CITY","5","7401","0","0","60","14","0","NEVADA","YUBA R","Pacific Gas & Electric","SACRAMENTO RIVER","2,4,12,14,16,30,31,32,45"
"DSB","DE SABLA (PG&E)","2710","39.867","-121.617","PARADISE","5","7201","0","0","60","13","0","BUTTE","BUTTE CR","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"DTV","DEATH VALLEY","-194","36.467","-116.867",,"9","11301","0","0","40","34","0","INYO","AMARGOSA R","National Weather Service","SOUTH LAHONTAN","2,45"
"DVS","DAVIS 2WSW","60","38.533","-121.767",,"5","7101","0","0","40","17","0","SACRAMENTO","SACTO VLY WEST","National Weather Service","SACRAMENTO RIVER","2"
"DWV","DOWNIEVILLE","2915","39.5667","-120.8333","DOWNIEVILLE","5","7401","0","0","40","14","0","SIERRA","YUBA R","National Weather Service","SACRAMENTO RIVER","2,45"
"DYL","DOYLE","4240","40.033","-120.1","PORTOLA","8","10401","0","0","40","10","0","LASSEN","SUSAN R","National Weather Service","NORTH LAHONTAN","2"
"EDI","EL DORADO INTAKE","3900","38.755","-120.583","KYBURZ","5","7701","0","0","60","18","0","EL DORADO","AMERICAN R","Pacific Gas & Electric","SACRAMENTO RIVER","2,45"
"EGL","EAGLE CREEK","6700","35.983","-118.641","JOHNSONDALE","7","9601","0","0","56","39","0","TULARE","TULE R","US Army Corps of Engineers","TULARE LAKE","2,4,45"
"EIN","EARLY INTAKE","2356","37.875","-119.967","MATHER","6","8601","0","0","1","25","0","TUOLUMNE","TUOLUMNE R","CA Dept of Water Resources","SAN JOAQUIN RIVER","2"
"ELC","EL CAPITAN DAM","600","32.882","-116.808","EL CAJON","4","6101","0","0","190","60","0","SAN DIEGO","SAN DIEGO R","San Diego County","SOUTH COAST","2,6,14,15"
"ELM","EL MIRAGE FIELD","2710","34.6","-117.6",,"9","11501","0","0","40","47","0","SAN BERNARDINO","MOJAVE DESERT","National Weather Service","SOUTH LAHONTAN","2"
"ELS","ELSINORE","1285","33.667","-117.333",,"4","5701","0","0","3","54","0","RIVERSIDE","SANTA ANA R","CA Dept of Forestry and Fire Protection","SOUTH COAST","2"
"ENG","ENGLEBRIGHT (USACE)","551","39.239","-121.267","MARYSVILLE","5","7401","700","999","56","13","0","NEVADA","YUBA R","US Army Corps of Engineers","SACRAMENTO RIVER","2,6,7,15,22,23,31,32,45,71,76"
"EPH","ELECTRA PH","720","38.333","-120.667","JACKSON","6","8301","0","0","60","18","0","AMADOR","MOKELUMNE R","Pacific Gas & Electric","SAN JOAQUIN RIVER","2,45"
"EPK","EAST PARK RESERVOIR","1205","39.367","-122.517","STONEYFORD","5","7251","0","0","50","12","0","COLUSA","STONY CR","US Bureau of Reclamation","SACRAMENTO RIVER","1,2,4,6,9,10,12,14,15,16,17,20,22,24,26,30,31,32,36,45,71"
"ERK","EUREKA WOODLEY ISLAND","20","40.8","-124.167","EUREKA","1","1201","0","0","40","6","0","HUMBOLDT","EEL R","National Weather Service","NORTH COAST","2,45"
"ERY","ELLERY LAKE","9645","37.9349670410156","-119.232200622559","TUOLUMNE MEADOWS","9","10901","999","999","702","999","0","MONO","MONO LAKE","CA Dept of Water Resources/DFM-Hydro-SMN","SOUTH LAHONTAN","2,4,9,10,12,14,18,30,31,32,45,77,78,103,104,105,115"
